id,€(avg)
02,1121524
10,239062
14,3918
15,925890
28,1168993
35,794454
39,278362
40,227100
42,501418
45,151009
47,1158517
55,7650
61,920704
62,902405
63,1115163
67,1460739
68,474480
76,592682
89,1122170
93,1460421
04,145819
05,701497
07,505523
08,1435721
09,1406798
17,1097587
19,654835
24,838151
27,200530
37,1188889
48,63118
58,1419417
60,911085
64,385935
69,186345
71,576038
75,462930
78,329905
81,784085
82,537144
83,1165683
85,1094430
87,202322
88,81467
92,672378
03,321707
06,1479754
11,185249
2A,590228
22,87088
23,911373
25,63455
29,446753
30,797400
33,367177
36,1176425
38,536753
51,238096
52,754679
57,708223
65,396341
66,532797
73,462286
74,40798
77,698589
84,826899
86,369431
94,865171
01,1274351
12,263452
13,1376466
16,1277980
18,580926
2B,900769
21,113573
26,1162264
31,1060155
32,385586
34,352821
43,1468411
44,862247
46,67015
49,1060133
50,1041606
56,1451482
59,1080932
70,754730
72,1154836
80,1384800
91,1269840
95,360415
41,1178001
53,1099668
54,1007581
79,44900
90,941694
